Common Name,Scientific Name,Order,Eye Orientation,Canine Development,Molar Type,Jaw Length Ratio,Skull Robustness,Body Size Class,Diet Category,Prey/Plant Type,Habitat (Terrestrial),Social Structure,Activity Pattern,Carnivory Score (0-10),Notes / Distinguishing Features
Bighorn Sheep,Ovis canadensis,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses,Grassland,Group,Diurnal,0,Massive curled horns; North America
Mountain Goat,Oreamnos americanus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Medium,Herbivore,Grasses+lichens,Grassland,Group,Diurnal,0,Not a true goat; white shaggy coat; cliffs
Ibex,Capra ibex,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses+lichens,Grassland,Group,Diurnal,0,Massive backward-curving horns; mountains
Chamois,Rupicapra rupicapra,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Medium,Herbivore,Grasses+lichens,Grassland,Group,Diurnal,0,Hooked horns; agile mountain climber
Tahr,Hemitragus jemlahicus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses+leaves,Grassland,Group,Diurnal,0,Shaggy coat; Himalayan; wild goat relative
Goral,Naemorhedus goral,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Small,Herbivore,Grasses+leaves,Grassland,Group,Diurnal,0,Small; goat-antelope; short horns
Serow,Capricornis sumatraensis,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Medium,Herbivore,Leaves+shoots,Forest,Solitary,Variable,0,Goat-antelope; shaggy; Southeast Asia
Red Deer,Cervus elaphus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses+leaves,Forest,Herd,Crepuscular,0,Branched antlers in males; roaring rut
Fallow Deer,Dama dama,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Medium,Herbivore,Grasses+leaves,Forest,Herd,Diurnal,0,Palmate antlers; spotted or dark variants
Roe Deer,Capreolus capreolus,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Small,Herbivore,Leaves+shoots,Forest,Solitary,Crepuscular,0,Small; short antlers; European
Moose (Elk),Alces alces,Artiodactyla,Side,Absent,Lophodont,Long,Robust,VeryLarge,Herbivore,Leaves+aquatic plants,Forest,Solitary,Crepuscular,0,Largest deer; palmate antlers; dewlap
Reindeer (Caribou),Rangifer tarandus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Lichen+grasses,Generalist,Herd,Diurnal,0,Both sexes have antlers; migrates
White-tailed Deer,Odocoileus virginianus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Medium,Herbivore,Leaves+shoots,Forest,Group,Crepuscular,0,White underside of tail; North America
Mule Deer,Odocoileus hemionus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Medium,Herbivore,Leaves+shoots,Generalist,Group,Crepuscular,0,Large ears; bifurcated tail; North America
Hog Deer,Axis porcinus,Artiodactyla,Side,Absent,Selenodont,Medium,Gracile,Small,Herbivore,Grasses+leaves,Generalist,Solitary,Crepuscular,0,Runs with head low like a pig; Asia
Barking Deer (Muntjac),Muntiacus muntjak,Artiodactyla,Side,Absent,Selenodont,Medium,Gracile,Small,Herbivore,Leaves+fruit+shoots,Forest,Solitary,Crepuscular,0,Small tusks in males; barks like a dog
Water Deer,Hydropotes inermis,Artiodactyla,Side,Absent,Selenodont,Medium,Gracile,Small,Herbivore,Grasses+reeds,Generalist,Solitary,Crepuscular,0,No antlers; long upper canines (tusks)
Tufted Deer,Elaphodus cephalophus,Artiodactyla,Side,Absent,Selenodont,Medium,Gracile,Small,Herbivore,Leaves+shoots,Forest,Solitary,Crepuscular,0,Small crest of hair; short antlers; China
Musk Deer,Moschus moschiferus,Artiodactyla,Side,Absent,Selenodont,Medium,Gracile,Small,Herbivore,Leaves+shoots,Forest,Solitary,Nocturnal,0,No antlers; long upper canines; musk pod
Père David's Deer,Elaphurus davidianus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses+aquatic plants,Generalist,Herd,Diurnal,0,Extinct in wild; hooves spread wide; China
Eld's Deer,Rucervus eldii,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses+leaves,Generalist,Group,Diurnal,0,Thamin; curved antlers; Southeast Asia
Thorold's Deer,Przewalskium albirostris,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses+lichens,Grassland,Group,Diurnal,0,White muzzle; high altitude; Tibet
Rusa Deer,Rusa timorensis,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses+leaves,Forest,Group,Crepuscular,0,Rough coat; Southeast Asia/Australia
Giraffe,Giraffa camelopardalis,Artiodactyla,Side,Absent,Lophodont,Long,Gracile,VeryLarge,Herbivore,Leaves+shoots,Savanna,Group,Diurnal,0,Tallest animal; long neck; ossicones
Okapi,Okapia johnstoni,Artiodactyla,Side,Absent,Lophodont,Long,Moderate,Large,Herbivore,Leaves+shoots,Forest,Solitary,Diurnal,0,Striped legs; relative of giraffe; prehensile tongue
Pronghorn,Antilocapra americana,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses+shrubs,Grassland,Herd,Diurnal,0,Not a true antelope; branched horns; N. America
Dromedary Camel,Camelus dromedarius,Artiodactyla,Side,Absent,Lophodont,Long,Moderate,Large,Herbivore,Grasses+shrubs,Desert,Herd,Diurnal,0,One hump; domesticated; desert adapted
Bactrian Camel,Camelus ferus,Artiodactyla,Side,Absent,Lophodont,Long,Moderate,Large,Herbivore,Grasses+shrubs,Desert,Herd,Diurnal,0,Two humps; wild populations in Mongolia
Llama,Lama glama,Artiodactyla,Side,Absent,Lophodont,Long,Moderate,Large,Herbivore,Grasses,Grassland,Herd,Diurnal,0,Domesticated; pack animal; South America
Alpaca,Vicugna pacos,Artiodactyla,Side,Absent,Lophodont,Long,Moderate,Medium,Herbivore,Grasses,Grassland,Herd,Diurnal,0,Domesticated; fine fleece; South America
Guanaco,Lama guanicoe,Artiodactyla,Side,Absent,Lophodont,Long,Moderate,Large,Herbivore,Grasses,Grassland,Herd,Diurnal,0,Wild ancestor of llama; South America
Vicuña,Vicugna vicugna,Artiodactyla,Side,Absent,Lophodont,Long,Gracile,Medium,Herbivore,Grasses,Grassland,Herd,Diurnal,0,Smallest camelid; finest wool; Andes
Horse,Equus ferus caballus,Perissodactyla,Side,Absent,Lophodont,Long,Moderate,Large,Herbivore,Grasses,Grassland,Herd,Diurnal,0,Domesticated; single toe (hoof); long face
Donkey,Equus africanus asinus,Perissodactyla,Side,Absent,Lophodont,Long,Moderate,Medium,Herbivore,Grasses+shrubs,Desert,Group,Diurnal,0,Long ears; bray; domesticated; drought tolerant
Plains Zebra,Equus quagga,Perissodactyla,Side,Absent,Lophodont,Long,Moderate,Large,Herbivore,Grasses,Savanna,Herd,Diurnal,0,Black-white stripes; social grazer
Mountain Zebra,Equus zebra,Perissodactyla,Side,Absent,Lophodont,Long,Moderate,Medium,Herbivore,Grasses,Grassland,Herd,Diurnal,0,Dewlap; gridiron pattern on rump; Africa
Grevy's Zebra,Equus grevyi,Perissodactyla,Side,Absent,Lophodont,Long,Moderate,Large,Herbivore,Grasses,Grassland,Herd,Diurnal,0,Largest zebra; narrow stripes; large ears
Malayan Tapir,Tapirus indicus,Perissodactyla,Side,Absent,Lophodont,Long,Moderate,Large,Herbivore,Leaves+shoots,Forest,Solitary,Nocturnal,0,"Black and white ""saddle"" pattern; SE Asia"
Baird's Tapir,Tapirus bairdii,Perissodactyla,Side,Absent,Lophodont,Long,Moderate,Large,Herbivore,Leaves+shoots,Forest,Solitary,Nocturnal,0,Largest Tapir; Central/South America
South American Tapir,Tapirus terrestris,Perissodactyla,Side,Absent,Lophodont,Long,Moderate,Large,Herbivore,Leaves+shoots,Forest,Solitary,Nocturnal,0,Lowland tapir; dark coat; South America
Chimpanzee,Pan troglodytes,Primates,Forward,Small,Bunodont,Medium,Moderate,Large,Omnivore,Fruit+insects+meat,Forest,Group,Diurnal,4,Tool use; 98% DNA shared with humans
Bonobo,Pan paniscus,Primates,Forward,Small,Bunodont,Medium,Moderate,Large,Omnivore,Fruit+leaves+insects,Forest,Group,Diurnal,3,Peaceful; matriarchal; Congo basin
Gorilla,Gorilla gorilla,Primates,Forward,Large,Lophodont,Medium,Robust,VeryLarge,Herbivore,Leaves+fruit+stems,Forest,Group,Diurnal,1,Largest primate; sagittal crest; knuckle-walks
Orangutan,Pongo pygmaeus,Primates,Forward,Small,Bunodont,Medium,Moderate,Large,Herbivore,Fruit+leaves+bark,Forest,Solitary,Diurnal,1,Red hair; long arms; highly intelligent
Baboon,Papio ursinus,Primates,Forward,Large,Bunodont,Medium,Robust,Medium,Omnivore,Grass+fruit+insects,Savanna,Group,Diurnal,4,Dog-like snout; colourful rump; terrestrial
Mandrill,Mandrillus sphinx,Primates,Forward,Large,Bunodont,Medium,Robust,Large,Omnivore,Fruit+insects+small animals,Forest,Group,Diurnal,4,Colourful face; largest monkey; terrestrial
Drill,Mandrillus leucophaeus,Primates,Forward,Large,Bunodont,Medium,Robust,Large,Omnivore,Fruit+insects,Forest,Group,Diurnal,4,Similar to mandrill; less colourful face
Gelada,Theropithecus gelada,Primates,Forward,Large,Lophodont,Medium,Moderate,Medium,Herbivore,Grasses,Grassland,Herd,Diurnal,0,Only grass-eating primate; chest patch; cliffs
Rhesus Macaque,Macaca mulatta,Primates,Forward,Small,Bunodont,Medium,Moderate,Medium,Omnivore,Fruit+seeds+insects,Generalist,Group,Diurnal,3,Widespread in Asia; highly adaptable
Bonnet Macaque,Macaca radiata,Primates,Forward,Small,Bunodont,Medium,Moderate,Medium,Omnivore,Fruit+insects+seeds,Forest,Group,Diurnal,3,Endemic to Southern India; cap of hair
Crab-eating Macaque,Macaca fascicularis,Primates,Forward,Small,Bunodont,Medium,Moderate,Medium,Omnivore,Crabs+fruit+insects,Forest,Group,Diurnal,4,Semi-aquatic; widespread in SE Asia
Japanese Macaque,Macaca fuscata,Primates,Forward,Small,Bunodont,Medium,Moderate,Medium,Omnivore,Leaves+seeds+insects,Generalist,Group,Diurnal,3,Snow monkey; bathes in hot springs
Proboscis Monkey,Nasalis larvatus,Primates,Forward,Small,Bunodont,Medium,Moderate,Large,Herbivore,Leaves+unripe fruit,Forest,Group,Diurnal,1,Enormous nose; large belly; Borneo
Snub-nosed Monkey,Rhinopithecus roxellana,Primates,Forward,Small,Bunodont,Medium,Moderate,Medium,Herbivore,Leaves+lichens,Forest,Group,Diurnal,1,Upturned nose; golden fur; China
Colobus Monkey,Colobus guereza,Primates,Forward,Small,Bunodont,Medium,Moderate,Medium,Herbivore,Leaves+seeds,Forest,Group,Diurnal,1,Black and white; no thumbs; leaf-eater
Patas Monkey,Erythrocebus patas,Primates,Forward,Small,Bunodont,Medium,Moderate,Medium,Omnivore,Insects+gum+seeds,Savanna,Group,Diurnal,3,Longest legs of any primate; fast runner
Ring-tailed Lemur,Lemur catta,Primates,Forward,Small,Bunodont,Medium,Moderate,Medium,Omnivore,Fruit+leaves+insects,Forest,Group,Diurnal,2,Long black-white ringed tail; Madagascar
Sifaka,Propithecus verreauxi,Primates,Forward,Small,Bunodont,Medium,Gracile,Medium,Herbivore,Leaves+fruit+flowers,Forest,Group,Diurnal,1,White fur; leaps sideways; Madagascar
Aye-aye,Daubentonia madagascariensis,Primates,Forward,Small,Bunodont,Medium,Gracile,Medium,Omnivore,Insects+fruit,Forest,Solitary,Nocturnal,3,Long middle finger; rodent-like teeth
Slow Loris,Nycticebus coucang,Primates,Forward,Small,Bunodont,Medium,Gracile,Small,Omnivore,Insects+gum+fruit,Forest,Solitary,Nocturnal,3,Venomous bite; slow-moving; SE Asia
Tarsier,Tarsius tarsier,Primates,Forward,Small,Bunodont,Medium,Gracile,Small,Insectivore,Insects+small vertebrates,Forest,Solitary,Nocturnal,5,Huge eyes; long ankle bones; SE Asia
Capuchin Monkey,Cebus capucinus,Primates,Forward,Small,Bunodont,Medium,Moderate,Medium,Omnivore,Fruit+insects+small prey,Forest,Group,Diurnal,4,Highly intelligent; uses tools
Howler Monkey,Alouatta palliata,Primates,Forward,Small,Bunodont,Medium,Moderate,Medium,Herbivore,Leaves+fruit,Forest,Group,Diurnal,1,Loudest land animal; prehensile tail
Spider Monkey,Ateles geoffroyi,Primates,Forward,Small,Bunodont,Medium,Gracile,Medium,Herbivore,Fruit+leaves,Forest,Group,Diurnal,1,Long limbs; prehensile tail; no thumb
Squirrel Monkey,Saimiri sciureus,Primates,Forward,Small,Bunodont,Medium,Gracile,Small,Omnivore,Insects+fruit,Forest,Group,Diurnal,4,Small; masked face; highly social
Tamarin,Saguinus mystax,Primates,Forward,Small,Bunodont,Medium,Gracile,Small,Omnivore,Insects+fruit+gum,Forest,Group,Diurnal,4,Small; mustache; prehensile tail
Marmoset,Callithrix jacchus,Primates,Forward,Small,Bunodont,Medium,Gracile,Small,Omnivore,Gum+insects+fruit,Forest,Group,Diurnal,4,Claws instead of nails; twin births
House Mouse,Mus musculus,Rodentia,Side,Absent,Lophodont,Medium,Gracile,Small,Omnivore,Seeds+grains+insects,Generalist,Group,Nocturnal,2,Massive diastema; continuously growing incisors
Brown Rat,Rattus norvegicus,Rodentia,Side,Absent,Lophodont,Medium,Moderate,Medium,Omnivore,Seeds+meat+scraps,Generalist,Group,Nocturnal,3,Large; adaptable; widespread
Black Rat,Rattus rattus,Rodentia,Side,Absent,Lophodont,Medium,Gracile,Medium,Omnivore,Seeds+fruit+insects,Generalist,Group,Nocturnal,3,Climber; smaller than brown rat
Capybara,Hydrochoerus hydrochaeris,Rodentia,Side,Absent,Lophodont,Medium,Moderate,Large,Herbivore,Grasses+aquatic plants,Savanna,Group,Diurnal,0,Largest rodent; semi-aquatic; South America
North American Beaver,Castor canadensis,Rodentia,Side,Absent,Lophodont,Medium,Robust,Large,Herbivore,Bark+leaves+aquatic plants,Forest,Pair,Nocturnal,0,Builds dams; flat paddle tail; orange teeth
Eurasian Beaver,Castor fiber,Rodentia,Side,Absent,Lophodont,Medium,Robust,Large,Herbivore,Bark+leaves+aquatic plants,Forest,Pair,Nocturnal,0,Similar to N.A. beaver; slightly different skull
African Porcupine,Hystrix africaeaustralis,Rodentia,Side,Absent,Lophodont,Medium,Moderate,Medium,Herbivore,Roots+bark+tubers,Generalist,Pair,Nocturnal,0,Large quills; gnaws bones for calcium
North American Porcupine,Erethizon dorsatum,Rodentia,Side,Absent,Lophodont,Medium,Moderate,Medium,Herbivore,Bark+leaves,Forest,Solitary,Nocturnal,0,Quills; arboreal; North America
Guinea Pig,Cavia porcellus,Rodentia,Side,Absent,Lophodont,Medium,Moderate,Medium,Herbivore,Grasses+leaves,Generalist,Group,Variable,0,Domesticated; no tail; South America
Chinchilla,Chinchilla chinchilla,Rodentia,Side,Absent,Lophodont,Medium,Gracile,Small,Herbivore,Grasses+seeds,Grassland,Group,Nocturnal,0,Densest fur of any land mammal; Andes
Agouti,Dasyprocta leporina,Rodentia,Side,Absent,Lophodont,Medium,Moderate,Medium,Herbivore,Seeds+fruit,Forest,Solitary,Diurnal,0,Long legs; seed disperser; South America
Paca,Cuniculus paca,Rodentia,Side,Absent,Lophodont,Medium,Moderate,Large,Herbivore,Fruit+seeds,Forest,Solitary,Nocturnal,0,Spotted coat; large; South America
Marmot,Marmota marmota,Rodentia,Side,Absent,Lophodont,Medium,Moderate,Large,Herbivore,Grasses+seeds,Grassland,Group,Diurnal,0,Large ground squirrel; hibernates
Prairie Dog,Cynomys ludovicianus,Rodentia,Side,Absent,Lophodont,Medium,Moderate,Medium,Herbivore,Grasses+seeds,Grassland,Group,Diurnal,0,Complex burrow systems; social
Groundhog (Woodchuck),Marmota monax,Rodentia,Side,Absent,Lophodont,Medium,Moderate,Large,Herbivore,Grasses+leaves,Generalist,Solitary,Diurnal,0,Large; hibernates; North America
Gray Squirrel,Sciurus carolinensis,Rodentia,Side,Absent,Lophodont,Medium,Gracile,Medium,Herbivore,Nuts+seeds+fungi,Forest,Solitary,Diurnal,0,Bushy tail; highly adaptable
Red Squirrel,Sciurus vulgaris,Rodentia,Side,Absent,Lophodont,Medium,Gracile,Small,Herbivore,Nuts+seeds+fungi,Forest,Solitary,Diurnal,0,Tufted ears; smaller than gray squirrel
Fox Squirrel,Sciurus niger,Rodentia,Side,Absent,Lophodont,Medium,Moderate,Large,Herbivore,Nuts+seeds+fruit,Forest,Solitary,Diurnal,0,Largest tree squirrel; North America
Flying Squirrel,Pteromys volans,Rodentia,Side,Absent,Lophodont,Medium,Gracile,Small,Herbivore,Nuts+seeds+fungi,Forest,Solitary,Nocturnal,0,Patagium (gliding membrane); large eyes
Chipmunk,Tamias striatus,Rodentia,Side,Absent,Lophodont,Medium,Gracile,Small,Omnivore,Seeds+insects+fungi,Forest,Solitary,Diurnal,0,Striped back; cheek pouches
Dormouse,Muscardinus avellanarius,Rodentia,Side,Absent,Lophodont,Medium,Gracile,Small,Omnivore,Nuts+fruit+insects,Forest,Solitary,Nocturnal,2,Long tail; hibernates; Europe
Jerboa,Jaculus jaculus,Rodentia,Side,Absent,Lophodont,Medium,Gracile,Small,Omnivore,Seeds+insects,Desert,Solitary,Nocturnal,3,Huge hind legs; bipedal hopping; long tail
Kangaroo Rat,Dipodomys ordii,Rodentia,Side,Absent,Lophodont,Medium,Gracile,Small,Omnivore,Seeds+insects,Desert,Solitary,Nocturnal,3,Does not drink water; bipedal; N. America
Degu,Octodon degus,Rodentia,Side,Absent,Lophodont,Medium,Moderate,Medium,Herbivore,Grasses+seeds,Grassland,Group,Diurnal,0,Social; diurnal; South America
Nutria (Coypu),Myocastor coypus,Rodentia,Side,Absent,Lophodont,Medium,Moderate,Large,Herbivore,Aquatic plants,Generalist,Group,Variable,0,Semi-aquatic; orange teeth; invasive
Springhare,Pedetes capensis,Rodentia,Side,Absent,Lophodont,Medium,Gracile,Small,Herbivore,Grasses+roots,Grassland,Solitary,Nocturnal,0,Kangaroo-like; large hind legs; bipedal hopping
Cape Hare,Lepus capensis,Lagomorpha,Side,Absent,Lophodont,Long,Gracile,Small,Herbivore,Grasses+leaves,Grassland,Solitary,Nocturnal,0,Long ears; fast runner; no burrow
European Hare,Lepus europaeus,Lagomorpha,Side,Absent,Lophodont,Long,Gracile,Medium,Herbivore,Grasses+leaves,Grassland,Solitary,Crepuscular,0,Larger than rabbit; long ears; fast
Jackrabbit,Lepus californicus,Lagomorpha,Side,Absent,Lophodont,Long,Gracile,Medium,Herbivore,Grasses+shrubs,Desert,Solitary,Nocturnal,0,Huge ears; desert adapted; North America
European Rabbit,Oryctolagus cuniculus,Lagomorpha,Side,Absent,Lophodont,Medium,Gracile,Small,Herbivore,Grasses+herbs,Grassland,Group,Crepuscular,0,Burrows; social; domesticated varieties
Cottontail Rabbit,Sylvilagus floridanus,Lagomorpha,Side,Absent,Lophodont,Medium,Gracile,Small,Herbivore,Grasses+leaves,Generalist,Solitary,Crepuscular,0,White fluffy tail; widespread in Americas
Pika,Ochotona princeps,Lagomorpha,Side,Absent,Lophodont,Short,Gracile,Small,Herbivore,Grasses+leaves,Grassland,Solitary,Diurnal,0,"No visible tail; mountain dweller; makes ""hay"""
Hedgehog,Erinaceus europaeus,Eulipotyphla,Side,Small,Mixed,Medium,Gracile,Small,Insectivore,Insects+worms,Generalist,Solitary,Nocturnal,3,Spiny coat; curls into ball; snuffles
Mole,Talpa europaea,Eulipotyphla,Side,Small,Mixed,Long,Gracile,Small,Insectivore,Earthworms,Generalist,Solitary,Variable,3,Subterranean; paddle forefeet; tiny eyes
Shrew,Sorex araneus,Eulipotyphla,Side,Small,Mixed,Long,Gracile,Small,Insectivore,Insects+worms,Generalist,Solitary,Variable,5,High metabolism; venomous saliva; tiny
Solenodon,Solenodon paradoxus,Eulipotyphla,Side,Small,Mixed,Long,Gracile,Medium,Omnivore,Insects+small vertebrates,Forest,Solitary,Nocturnal,6,Venomous bite; primitive mammal; Caribbean
Tenrec,Tenrec ecaudatus,Eulipotyphla,Side,Small,Mixed,Medium,Gracile,Small,Omnivore,Insects+worms+fruit,Forest,Solitary,Nocturnal,4,Spiny; Madagascar; convergent with hedgehogs
Aardvark,Orycteropus afer,Tubulidentata,Side,Absent,Mixed,Long,Gracile,Large,Insectivore,Ants+termites,Savanna,Solitary,Nocturnal,2,Pig-like snout; digs; long sticky tongue
Giant Anteater,Myrmecophaga tridactyla,Pilosa,Side,Absent,Absent,Long,Gracile,Large,Insectivore,Ants+termites,Savanna,Solitary,Variable,2,No teeth at all; very long snout; bushy tail
Silky Anteater,Cyclopes didactylus,Pilosa,Side,Absent,Absent,Medium,Gracile,Small,Insectivore,Ants+termites,Forest,Solitary,Nocturnal,2,Tiny; prehensile tail; arboreal
Tamandua,Tamandua tetradactyla,Pilosa,Side,Absent,Absent,Medium,Gracile,Medium,Insectivore,Ants+termites,Forest,Solitary,Variable,2,"Prehensile tail; ""lesser anteater"""
Two-toed Sloth,Choloepus didactylus,Pilosa,Side,Small,Mixed,Medium,Gracile,Medium,Herbivore,Leaves+shoots,Forest,Solitary,Nocturnal,0,Slow metabolism; algae in fur; arboreal
Three-toed Sloth,Bradypus variegatus,Pilosa,Side,Small,Mixed,Medium,Gracile,Medium,Herbivore,Leaves+shoots,Forest,Solitary,Diurnal,0,"Slower than two-toed; facial ""smile"""
Giant Pangolin,Manis gigantea,Pholidota,Side,Absent,Absent,Long,Gracile,Large,Insectivore,Ants+termites,Savanna,Solitary,Nocturnal,2,Largest pangolin; Africa
Sunda Pangolin,Manis javanica,Pholidota,Side,Absent,Absent,Long,Gracile,Medium,Insectivore,Ants+termites,Forest,Solitary,Nocturnal,2,SE Asia; highly trafficked
White-bellied Pangolin,Phataginus tricuspis,Pholidota,Side,Absent,Absent,Long,Gracile,Medium,Insectivore,Ants+termites,Forest,Solitary,Nocturnal,2,Arboreal; long prehensile tail
Nine-banded Armadillo,Dasypus novemcinctus,Cingulata,Side,Small,Mixed,Medium,Moderate,Medium,Omnivore,Insects+roots+fruit,Grassland,Solitary,Nocturnal,3,Bony armor; rolls into ball; N. America
Giant Armadillo,Priodontes maximus,Cingulata,Side,Small,Mixed,Medium,Moderate,Large,Insectivore,Ants+termites,Forest,Solitary,Nocturnal,2,Largest armadillo; huge claws
Pink Fairy Armadillo,Chlamyphorus truncatus,Cingulata,Side,Small,Mixed,Medium,Gracile,Small,Omnivore,Insects+roots,Desert,Solitary,Nocturnal,3,Smallest armadillo; pink shell; burrowing
Red Kangaroo,Macropus rufus,Diprotodontia,Side,Small,Mixed,Medium,Moderate,Large,Herbivore,Grasses+shrubs,Grassland,Group,Crepuscular,0,Largest marsupial; powerful hind legs
Eastern Grey Kangaroo,Macropus giganteus,Diprotodontia,Side,Small,Mixed,Medium,Moderate,Large,Herbivore,Grasses,Grassland,Group,Crepuscular,0,Large; widespread in E. Australia
Wallaby,Macropus agilis,Diprotodontia,Side,Small,Mixed,Medium,Gracile,Medium,Herbivore,Grasses+leaves,Generalist,Group,Crepuscular,0,Smaller than kangaroo; agile
Koala,Phascolarctos cinereus,Diprotodontia,Side,Small,Mixed,Medium,Moderate,Medium,Herbivore,Eucalyptus leaves,Forest,Solitary,Nocturnal,0,Specialized diet; low metabolism; arboreal
Common Wombat,Vombatus ursinus,Diprotodontia,Side,Small,Mixed,Medium,Robust,Medium,Herbivore,Grasses+roots,Generalist,Solitary,Nocturnal,0,Burrowing; cube-shaped poop; sturdy
Sugar Glider,Petaurus breviceps,Diprotodontia,Side,Small,Mixed,Medium,Gracile,Small,Omnivore,Sap+insects+fruit,Forest,Group,Nocturnal,3,Patagium (gliding membrane); small
Tasmanian Devil,Sarcophilus harrisii,Dasyuromorphia,Forward,Large,Mixed,Short,Robust,Medium,Carnivore,Small mammals+carrion,Forest,Solitary,Nocturnal,7,Fearless; loud screech; strongest bite
Spotted Quoll,Dasyurus maculatus,Dasyuromorphia,Forward,Large,Mixed,Medium,Moderate,Medium,Carnivore,Small mammals+insects,Forest,Solitary,Nocturnal,8,Largest carnivorous marsupial; spotted
Numbat,Myrmecobius fasciatus,Dasyuromorphia,Forward,Small,Mixed,Medium,Gracile,Small,Insectivore,Termites,Forest,Solitary,Diurnal,2,Striped back; long tongue; no pouch
